# idx_agent, opinion
    0,        0.4722996398934791
    1,       0.45185947484045036
    2,        0.4960894866300126
    3,       0.49469455162230663
    4,        0.4557975656792661
    5,        0.4582320377699919
    6,        0.4563535307182528
    7,       0.43787977880874845
    8,       0.45810169658021344
    9,        0.4592770404503442
   10,        0.4380276038262394
   11,        0.4466992719840444
   12,       0.41626809990378855
   13,       0.46404948314252825
   14,       0.47917487144284604
   15,        0.5020625112912425
   16,        0.4296085269407242
   17,        0.4465664410734399
   18,        0.4841588541772793
   19,       0.42052546757186415
