# idx_agent, opinion
    0,       0.45205843830468795
    1,        0.4520185712882843
    2,        0.4521135707340128
    3,       0.45211277829613306
    4,       0.45194145345378367
    5,        0.4522220011982345
    6,       0.45212220869058856
    7,        0.4521002588408174
    8,       0.45204693038880583
    9,        0.4520385250106194
   10,        0.4520276293619927
   11,        0.4520343795505893
   12,       0.45217305164195265
   13,        0.4519959009906278
   14,        0.4520386315355225
   15,        0.4521647536169631
   16,        0.4520736137744193
   17,        0.4519851703419234
   18,       0.45204572610306154
   19,        0.4520894872711718
