# idx_agent, opinion
    0,         0.452039324385639
    1,       0.45203310825249576
    2,       0.45211407447642066
    3,        0.4520897113685933
    4,        0.4519848883321907
    5,        0.4521449923628787
    6,         0.452090931780371
    7,       0.45210318101653185
    8,         0.452058319152552
    9,       0.45204743434127603
   10,       0.45203327437624585
   11,       0.45205057271794025
   12,        0.4521119882945356
   13,       0.45201070220910333
   14,        0.4520259999868276
   15,        0.4521154246239298
   16,        0.4520570986896941
   17,        0.4520199587951713
   18,        0.4520320613811758
   19,       0.45210653291058644
