# idx_agent, opinion
    0,        0.5476006289334227
    1,       0.43514290482704765
    2,       0.45978282158378975
    3,        0.5105530607119741
    4,        0.4551340806468483
    5,        0.4912838027233292
    6,       0.43278079989864415
    7,       0.40982676812766466
    8,       0.40809131539586696
    9,        0.4714788633551408
   10,       0.44803462304965724
   11,        0.3837692001311244
   12,        0.4084821314558032
   13,        0.5188626032752623
   14,        0.5062794378965284
   15,         0.509710186046819
   16,         0.436959058236584
   17,        0.4858686078943995
   18,        0.5607138209027913
   19,        0.3989689049208901
