# idx_agent, opinion
    0,       0.45203902927863643
    1,         0.452042229270297
    2,        0.4520880277739916
    3,       0.45206839629944406
    4,       0.45201007104006474
    5,         0.452100944504859
    6,       0.45207033236647404
    7,        0.4520840330335726
    8,        0.4520593843544891
    9,        0.4520538424953091
   10,       0.45203755563012404
   11,        0.4520533818455773
   12,        0.4520849625569341
   13,        0.4520342695116999
   14,        0.4520328870939771
   15,        0.4520799857705293
   16,        0.4520503672993442
   17,        0.4520435588794753
   18,       0.45203634249970504
   19,       0.45209830058715894
