# idx_agent, opinion
    0,        0.4520967127772832
    1,        0.4520008478026326
    2,       0.45201787288108547
    3,        0.4521062843896498
    4,       0.45185081497623714
    5,        0.4523396204399665
    6,       0.45213583213294223
    7,       0.45202165006760986
    8,        0.4520220512083631
    9,        0.4520443623979478
   10,        0.4520196840452112
   11,       0.45199243909634745
   12,       0.45230756790072113
   13,        0.4520248850206953
   14,        0.4520835931182291
   15,         0.452181014828135
   16,       0.45210952166085877
   17,        0.4519769437207235
   18,       0.45208210369202684
   19,        0.4520579421472229
